Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	signal peptide	429	27.87524366471735	2.284929679253824E-45	909, 91653, 51083, 10536, 4969, 79412, 3512, 57863, 92737, 6900, 133396, 10894, 5950, 2562, 147685, 145264, 57633, 27098, 252995, 2555, 2676, 1101, 1464, 2674, 4978, 1000, 339366, 145270, 1360, 10516, 2568, 1113, 1474, 2563, 79679, 641654, 10631, 10752, 4745, 253935, 285220, 66000, 4881, 286676, 1010, 22865, 22986, 1008, 57535, 10406, 10647, 1005, 388555, 1002, 170690, 643847, 947, 132014, 29106, 116969, 5618, 2348, 1135, 114794, 389434, 4884, 4885, 10850, 221914, 1394, 114898, 1271, 145581, 2239, 10747, 4653, 844, 341640, 845, 5745, 157310, 729, 64084, 58530, 146556, 57689, 146433, 2006, 389336, 730, 2487, 26050, 154197, 22943, 50937, 4684, 6863, 56241, 56127, 27151, 56129, 167127, 57574, 1047, 57575, 79589, 56125, 5764, 869, 5542, 1066, 2152, 3483, 59084, 338328, 389118, 1056, 11341, 79937, 729085, 253559, 158038, 4582, 2045, 762, 2159, 3489, 3488, 765, 254773, 5544, 51378, 768, 5304, 56944, 5549, 203190, 10149, 4593, 161357, 1087, 3263, 23544, 10117, 651, 340745, 54413, 653, 2047, 658, 4589, 84189, 10232, 419, 10234, 196410, 84171, 8722, 5212, 2066, 130749, 781, 84059, 4477, 79827, 4359, 8839, 4250, 23769, 5100, 128434, 91851, 64478, 80835, 22798, 147111, 2192, 25823, 10218, 434, 4246, 6425, 6546, 57828, 6442, 4023, 338761, 685, 116443, 51299, 8857, 4015, 5104, 10461, 10343, 5348, 10468, 57717, 219348, 8633, 9723, 6690, 81832, 575, 340706, 10319, 214, 127435, 4147, 338, 10551, 345275, 64388, 7434, 148113, 460, 222865, 57611, 341, 344, 347, 79625, 80731, 348, 140862, 8516, 4038, 284069, 9729, 93035, 8532, 57188, 118430, 23284, 117, 53826, 152573, 152330, 9752, 8425, 8788, 5157, 8785, 11197, 1908, 116238, 92293, 405754, 130576, 130574, 4072, 84467, 84466, 53841, 83259, 8549, 9518, 10076, 387914, 6383, 7472, 7475, 10082, 6385, 7477, 9413, 10085, 222663, 53616, 7123, 4099, 9423, 6038, 23245, 7482, 2900, 277, 278, 151449, 89932, 55800, 2904, 2903, 2901, 64881, 11272, 283, 375704, 2911, 140686, 1829, 2916, 1948, 9568, 7148, 256691, 1953, 768239, 1950, 11122, 11248, 8000, 9211, 7038, 222223, 183, 8483, 56920, 25891, 220296, 2934, 7044, 114905, 130399, 22917, 7049, 56130, 56131, 27006, 165257, 256394, 83756, 56137, 81578, 56138, 56139, 56134, 56135, 27123, 56136, 22801, 92211, 22925, 56140, 56141, 157869, 56142, 56143, 54084, 7173, 164284, 56145, 56146, 26167, 27255, 56147, 2719, 10941, 90187, 6098, 9369, 28316, 653247, 57484, 63923, 54097, 146760, 728577, 1634, 84624, 3816, 117166, 27344, 56034, 1630, 10913, 4908, 148811, 341277, 387758, 389816, 1515, 8288, 9378, 9254, 7079, 134548, 155465, 7078, 9370, 223117, 84735, 83888, 79148, 4916, 117159, 50863, 51716, 374462, 29989, 165215, 27328, 2743, 60676, 4920, 3952, 3953, 135932, 57393, 29991, 124857, 1301, 284402, 80274, 139065, 26577, 2891, 28513, 8076, 27306, 1675, 124842, 147920, 3973, 3976, 340267, 3977, 83690, 339398, 2660, 1690, 285704, 4958, 120114, 3625, 2899, 2898, 2893, 26585	1322	3211	18732	1.8930831092627416	7.460295402763735E-42	7.462580332442989E-42	7.298065395536714E-42
UP_KEYWORDS	Glycoprotein	528	34.30799220272904	4.0747243841809436E-43	137868, 909, 91653, 3760, 81849, 10536, 57864, 4969, 79412, 3512, 57863, 92737, 6900, 133396, 3875, 131096, 10894, 57628, 3757, 3758, 2562, 145264, 57633, 27098, 252995, 400746, 2555, 2676, 1101, 147798, 1464, 2674, 27092, 4978, 285335, 1000, 339366, 145270, 10516, 2568, 1113, 1474, 2563, 79679, 3776, 10631, 10752, 4745, 253935, 2208, 285220, 66000, 4881, 1132, 1131, 1010, 22865, 22986, 1008, 1128, 57535, 10406, 151835, 1005, 27199, 1002, 170690, 947, 132014, 347088, 79690, 29106, 116969, 5618, 1259, 2348, 1135, 2587, 114794, 114795, 4884, 4885, 4886, 4889, 221914, 1394, 1271, 145581, 2239, 4653, 844, 341640, 845, 5745, 6833, 729, 64084, 66035, 2254, 58530, 146556, 146433, 730, 2487, 10718, 344905, 254827, 64091, 26290, 26050, 22943, 50937, 4684, 56241, 56127, 27151, 56129, 167127, 57575, 79589, 2134, 56125, 8912, 8910, 869, 340895, 5540, 6751, 6511, 5542, 1066, 2152, 3483, 59084, 338328, 389118, 1056, 6865, 11341, 79937, 729085, 139411, 253559, 284297, 286133, 158038, 4582, 2045, 3249, 762, 2159, 54886, 3489, 3488, 765, 1188, 887, 5544, 51378, 768, 5304, 326342, 6517, 56944, 5549, 203190, 10149, 1080, 4593, 161357, 6530, 10350, 1087, 3263, 23302, 23544, 338557, 10117, 651, 340745, 54413, 653, 774, 389015, 2047, 4589, 55503, 10232, 419, 266722, 84171, 64102, 8722, 5212, 2066, 130749, 781, 79827, 4359, 4250, 23769, 5100, 91851, 64478, 10690, 80835, 22798, 222611, 147111, 2192, 25823, 10218, 434, 127579, 4246, 6546, 57828, 4248, 6549, 3290, 6442, 6563, 90993, 4023, 6445, 10580, 54681, 685, 116443, 51299, 8857, 4015, 5104, 4137, 10461, 5468, 10343, 8613, 10100, 10345, 10103, 10468, 57717, 6331, 8633, 64377, 6332, 9723, 81832, 10317, 575, 340706, 10319, 214, 127435, 4147, 338, 9956, 6329, 64388, 8645, 7434, 148113, 460, 222865, 57611, 344, 80975, 347, 79625, 80731, 348, 140862, 8516, 108, 4038, 284069, 8639, 10090, 93035, 5023, 8532, 64711, 57188, 165530, 111, 118430, 114, 116255, 23284, 117, 152330, 9752, 57191, 8425, 9514, 8788, 5157, 8785, 11076, 11197, 92293, 29953, 361, 482, 362, 28983, 24, 94025, 7345, 405754, 130576, 7103, 28, 130574, 4072, 84467, 84466, 53841, 83259, 8549, 11045, 60495, 9518, 10076, 6383, 7472, 7475, 10082, 6385, 7477, 7113, 63895, 10085, 222663, 28968, 388, 147, 148, 51310, 7348, 40, 53616, 84570, 7123, 4099, 9423, 23245, 152, 7482, 401097, 153, 154, 1811, 2900, 277, 278, 151449, 727936, 55800, 1815, 2904, 2903, 2901, 9796, 64881, 64409, 2911, 140686, 1829, 105375355, 50489, 2916, 1948, 375611, 9568, 7148, 23467, 256691, 1953, 768239, 1950, 117248, 54857, 11122, 387836, 11248, 9452, 8000, 9211, 164656, 7038, 222223, 183, 8483, 185, 102723475, 56920, 25891, 220296, 79901, 7044, 22917, 7049, 56130, 56131, 90161, 256394, 2823, 83756, 56137, 57348, 81578, 56138, 56139, 56134, 56135, 284612, 27123, 56136, 729993, 22801, 92211, 22925, 56140, 56141, 157869, 56142, 56143, 54084, 7173, 164284, 1501, 100431172, 56145, 56146, 256158, 26167, 27255, 56147, 2719, 10941, 148808, 2835, 90187, 6098, 375775, 9369, 28316, 653247, 57484, 63923, 54097, 146760, 728577, 1634, 84624, 3816, 117166, 27344, 56034, 1630, 84620, 10913, 27345, 2840, 4908, 148811, 341277, 387758, 389816, 1515, 8288, 9378, 9254, 9370, 223117, 1404, 84735, 79148, 4916, 57136, 83401, 50863, 51716, 100507421, 374462, 100996758, 165215, 27328, 2743, 1896, 60676, 1410, 200150, 4920, 3953, 57393, 124857, 1544, 1301, 1543, 283310, 80274, 139065, 340273, 26577, 2891, 28513, 8076, 124842, 574537, 3973, 3976, 3977, 339398, 2660, 1690, 285704, 4958, 120114, 3625, 2899, 2898, 2893, 26585, 51754, 54905	1365	4388	19281	1.6996684263776334	1.8743732167232342E-40	1.8743732167232342E-40	1.7032347925876344E-40
UP_KEYWORDS	Signal	472	30.669265756985055	9.366429431985421E-42	22999, 909, 91653, 81849, 51083, 10536, 4969, 79412, 3512, 57863, 92737, 3751, 6900, 133396, 10894, 5950, 2562, 147685, 145264, 57633, 27098, 252995, 1589, 102723971, 2555, 2676, 1101, 1464, 2674, 4978, 1000, 339366, 145270, 1360, 10516, 2568, 1113, 1474, 2563, 79679, 55224, 10631, 10752, 4745, 253935, 285220, 66000, 4881, 286676, 1010, 22865, 22986, 1008, 57535, 10406, 10647, 1005, 388555, 1002, 170690, 253827, 643847, 947, 132014, 347088, 29106, 116969, 5618, 2348, 1135, 114794, 389434, 4884, 4885, 10850, 221914, 155006, 1394, 114898, 1271, 145581, 2239, 10747, 4653, 844, 341640, 845, 5745, 157310, 729, 64084, 58530, 146556, 57689, 146433, 2006, 389336, 730, 2487, 26050, 154197, 22943, 50937, 4684, 6863, 56241, 56127, 27151, 56129, 167127, 57574, 1047, 57575, 79589, 56125, 5764, 869, 340895, 5542, 1066, 2152, 3483, 59084, 338328, 389118, 1056, 11341, 79937, 729085, 253559, 284297, 158038, 4582, 2045, 762, 2159, 3489, 26960, 3488, 765, 254773, 5544, 51378, 768, 5304, 326342, 56944, 5549, 203190, 10149, 4593, 161357, 1087, 3263, 23544, 10117, 651, 340745, 54413, 653, 774, 2047, 658, 4589, 84189, 10232, 419, 10234, 196410, 84171, 8722, 5212, 100861519, 6664, 2066, 130749, 781, 100533181, 84059, 4477, 79827, 4359, 8839, 4250, 23769, 5100, 128434, 91851, 64478, 80835, 22798, 222611, 147111, 2192, 25823, 10218, 434, 4246, 6425, 6546, 57828, 6442, 4023, 338761, 389033, 685, 116443, 51299, 55532, 8857, 4015, 5104, 10461, 10343, 5348, 10468, 57717, 219348, 8633, 9723, 6690, 81832, 575, 340706, 10319, 214, 127435, 4147, 338, 10551, 6329, 345275, 64388, 7434, 148113, 460, 222865, 57611, 341, 344, 347, 79625, 80731, 348, 140862, 8516, 4038, 284069, 93035, 8532, 57188, 118430, 23284, 117, 53826, 152573, 152330, 9752, 8425, 8788, 5157, 8785, 11197, 1908, 116238, 92293, 11283, 405754, 130576, 28, 130574, 130, 4072, 84467, 84466, 53841, 83259, 8549, 60495, 9518, 10076, 387914, 6383, 7472, 7475, 10082, 6385, 7477, 9413, 63895, 10085, 222663, 28968, 7348, 53616, 7123, 4099, 9423, 6038, 23245, 7482, 401097, 2900, 277, 278, 151449, 89932, 55800, 2904, 2903, 2901, 64881, 11272, 116039, 283, 375704, 2911, 140686, 1829, 105375355, 2916, 1948, 9568, 7148, 23467, 256691, 1953, 768239, 1950, 117248, 11122, 11248, 8000, 9211, 7038, 222223, 183, 8483, 23359, 56920, 25891, 220296, 2934, 7044, 114905, 130399, 22917, 7049, 56130, 56131, 27006, 165257, 256394, 83756, 56137, 81578, 56138, 56139, 56134, 56135, 27123, 56136, 729993, 22801, 92211, 22925, 56140, 56141, 157869, 56142, 56143, 54084, 7173, 164284, 56145, 56146, 256158, 26167, 27255, 56147, 2719, 643669, 10941, 2835, 90187, 6098, 9369, 28316, 653247, 57484, 63923, 54097, 146760, 728577, 1634, 84624, 3816, 117166, 27344, 56034, 1630, 10913, 4908, 148811, 341277, 387758, 389816, 1515, 8288, 9378, 9254, 7079, 134548, 155465, 7078, 9370, 223117, 101929726, 84735, 83888, 79148, 4916, 117159, 50863, 51716, 100529215, 100507421, 374462, 29989, 165215, 27328, 2743, 60676, 4920, 3952, 3953, 135932, 728741, 57393, 29991, 124857, 1301, 1543, 284402, 283310, 80274, 139065, 26577, 2891, 28513, 8076, 1675, 124842, 574537, 147920, 3973, 3976, 340267, 3977, 83690, 339398, 2660, 1690, 285704, 4958, 120114, 3625, 2899, 2898, 2893, 26585, 54905	1365	3779	19281	1.7642576529054432	4.308557538713294E-39	2.154278769356647E-39	1.957583751284953E-39
UP_KEYWORDS	Keratin	68	4.418453541260559	7.614159940111415E-38	85291, 85290, 85293, 728279, 3881, 390792, 387264, 353323, 83902, 112802, 83755, 337882, 81850, 337880, 125115, 81851, 386685, 100505724, 3875, 85294, 85280, 728224, 374454, 3891, 3892, 100505753, 353332, 386680, 386682, 353333, 386677, 83901, 386679, 83900, 386678, 440051, 440050, 386672, 386675, 57830, 386674, 3883, 3884, 342574, 388818, 85289, 3886, 3887, 3889, 85285, 162605, 83899, 100132386, 83895, 81870, 81871, 83897, 81872, 83896, 387273, 147183, 338785, 84616, 653240, 100132476, 387266, 730755, 643803	1365	148	19281	6.48999108999109	3.502513572451251E-35	1.1675045241504171E-35	1.0609062849888572E-35
GOTERM_CC_DIRECT	GO:0045095~keratin filament	56	3.6387264457439894	3.1229462499835228E-37	85291, 85290, 85293, 728279, 387264, 353323, 112802, 83755, 81850, 337880, 81851, 386685, 100505724, 3875, 85294, 85280, 728224, 374454, 3891, 3892, 100505753, 353332, 386680, 386682, 353333, 386677, 83901, 386679, 83900, 386678, 440051, 440050, 386672, 386675, 57830, 386674, 85289, 3887, 3889, 85285, 83899, 100132386, 83895, 81870, 81871, 83897, 81872, 83896, 387273, 338785, 84616, 653240, 100132476, 387266, 730755, 643803	1282	97	17485	7.873972690866397	1.5302436624919263E-34	1.5302436624919263E-34	1.4584158987423052E-34
INTERPRO	IPR002494:High sulphur keratin-associated protein	43	2.7940220922677064	3.5362334106765973E-37	85291, 85290, 728279, 387264, 353323, 83899, 83755, 100132386, 81870, 83895, 81871, 81872, 81850, 386685, 81851, 100505724, 85294, 85280, 728224, 100505753, 353332, 386680, 387273, 386682, 353333, 386677, 84616, 653240, 386679, 83901, 386678, 440051, 83900, 100132476, 440050, 386672, 387266, 386675, 57830, 386674, 85289, 730755, 85285	1275	55	17632	10.811778966131907	5.668582157314586E-34	5.668582157314586E-34	5.555422688172935E-34
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	476	30.92917478882391	3.4105713573849836E-35	137868, 909, 91653, 81849, 10536, 57864, 4969, 201164, 79412, 3512, 57863, 92737, 6900, 133396, 131096, 10894, 57628, 3757, 2562, 145264, 57633, 27098, 252995, 2555, 2676, 147798, 1464, 2674, 27092, 4978, 285335, 1000, 339366, 145270, 10516, 2568, 1474, 2563, 79679, 641654, 3776, 10631, 10752, 4745, 253935, 2208, 285220, 66000, 4881, 1132, 1131, 1010, 22865, 22986, 1008, 1128, 57535, 10406, 151835, 1005, 27199, 1002, 170690, 947, 132014, 347088, 79690, 116969, 5618, 1259, 2348, 1135, 2587, 114794, 114795, 4884, 4885, 4886, 4889, 1394, 1271, 145581, 2239, 4653, 844, 341640, 845, 5745, 6833, 729, 64084, 66035, 2254, 58530, 146433, 730, 2487, 344905, 254827, 64091, 26290, 26050, 22943, 50937, 4684, 56241, 56127, 27151, 56129, 167127, 57575, 79589, 2134, 56125, 8912, 8910, 869, 5540, 6751, 6511, 5542, 1066, 2152, 3483, 59084, 338328, 389118, 6865, 11341, 79937, 729085, 139411, 253559, 286133, 158038, 4582, 2045, 3249, 2159, 54886, 765, 1188, 887, 5544, 51378, 768, 5304, 6517, 56944, 5549, 203190, 10149, 1080, 4593, 161357, 6530, 10350, 1087, 3263, 23302, 23544, 338557, 10117, 651, 340745, 54413, 653, 774, 389015, 2047, 4589, 55503, 10232, 419, 266722, 84171, 64102, 8722, 5212, 2066, 130749, 781, 79827, 4250, 23769, 5100, 91851, 64478, 10690, 80835, 22798, 222611, 147111, 2192, 25823, 10218, 434, 127579, 4246, 6546, 57828, 4248, 6549, 3290, 6442, 6563, 90993, 4023, 6445, 54681, 685, 116443, 8857, 4015, 5104, 10461, 10343, 8613, 6558, 10100, 10345, 10103, 10468, 57717, 6331, 8633, 64377, 6332, 9723, 81832, 10317, 575, 340706, 10319, 214, 127435, 4147, 338, 9956, 6329, 64388, 8645, 7434, 148113, 460, 222865, 57611, 80975, 347, 79625, 80731, 140862, 8516, 108, 4038, 284069, 8639, 10090, 5023, 8532, 64711, 57188, 165530, 111, 114, 116255, 23284, 117, 152330, 9752, 57191, 8425, 9514, 8788, 5157, 8785, 11197, 92293, 29953, 361, 482, 362, 28983, 24, 94025, 405754, 7103, 28, 130574, 4072, 84467, 84466, 53841, 83259, 8549, 11045, 9518, 10076, 7472, 7475, 7477, 7113, 63895, 222663, 28968, 147, 148, 51310, 40, 53616, 4099, 9423, 23245, 152, 7482, 153, 154, 2900, 277, 278, 151449, 727936, 55800, 1815, 2904, 2903, 2901, 9796, 64881, 64409, 2911, 140686, 1829, 50489, 2916, 1948, 375611, 9568, 7148, 23467, 256691, 1953, 768239, 1950, 117248, 54857, 11122, 387836, 11248, 9452, 8000, 9211, 164656, 7038, 222223, 183, 8483, 185, 56920, 25891, 220296, 79901, 7044, 22917, 7049, 56130, 56131, 90161, 256394, 2823, 83756, 56137, 57348, 81578, 56138, 56139, 56134, 56135, 284612, 27123, 56136, 22801, 92211, 22925, 56140, 56141, 157869, 56142, 56143, 54084, 7173, 164284, 56145, 56146, 26167, 27255, 56147, 2719, 10941, 148808, 2835, 90187, 6098, 375775, 9369, 28316, 653247, 57484, 63923, 54097, 728577, 1634, 84624, 3816, 117166, 56034, 1630, 84620, 10913, 27345, 2840, 4908, 148811, 341277, 387758, 1515, 8288, 9378, 9254, 223117, 1404, 84735, 79148, 4916, 57136, 50863, 51716, 374462, 165215, 27328, 84649, 2743, 1896, 60676, 200150, 4920, 3953, 57393, 124857, 1301, 57156, 80274, 139065, 26577, 2891, 28513, 8076, 27306, 124842, 3973, 3976, 3977, 339398, 2660, 1690, 285704, 4958, 120114, 3625, 2899, 2898, 100131390, 2893, 26585, 3742, 51754	1322	4069	18732	1.657570301110682	1.1135515481861971E-31	5.569463026609678E-32	5.446682457743819E-32
UP_SEQ_FEATURE	repeat:15	35	2.2742040285899936	6.309109565725594E-22	85291, 85290, 8796, 5542, 653247, 353323, 83899, 83755, 100132386, 1038, 81870, 81871, 1056, 386685, 85280, 728224, 4582, 386680, 386682, 353333, 729359, 386677, 84616, 653240, 386679, 83901, 386678, 83900, 100132476, 386672, 386675, 386674, 85289, 57716, 85285	1322	67	18732	7.401946395104658	2.0599242732094066E-18	6.868517280553264E-19	6.71709865097585E-19
UP_SEQ_FEATURE	repeat:14	36	2.3391812865497075	1.7698793283997676E-21	85291, 85290, 8796, 5542, 653247, 353323, 83899, 83755, 100132386, 1038, 81870, 81871, 1056, 386685, 85280, 728224, 4582, 353332, 386680, 386682, 353333, 729359, 386677, 84616, 653240, 386679, 83901, 386678, 83900, 100132476, 386672, 386675, 386674, 85289, 57716, 85285	1322	73	18732	6.987669160466707	5.778656007225241E-18	1.4451064716384101E-18	1.4132486437272144E-18
UP_SEQ_FEATURE	repeat:6	48	3.1189083820662766	7.670612067084781E-21	85291, 85290, 8796, 5542, 387264, 653247, 353323, 25802, 83899, 83755, 100132386, 1038, 81870, 81871, 1056, 386685, 4589, 1815, 85280, 728224, 4582, 353332, 386680, 387273, 386682, 353333, 729359, 386677, 84616, 653240, 386679, 83901, 386678, 440051, 83900, 100132476, 440050, 386672, 387266, 386675, 348, 57830, 386674, 5544, 85289, 643803, 57716, 85285	1322	137	18732	4.964475413275617	2.504454839903181E-17	5.010443802219779E-18	4.8999869884537575E-18
